Illinois Chicago ,.2818,100.5,109.0,-.010,.5097
Cal St. Northridge ,.2809,98.8,107.2,-.041,.5423
UNC Greensboro ,.2800,98.0,106.4,-.125,.3862
Siena ,.2770,103.0,112.0,-.010,.4230
Southern ,.2763,92.9,101.1,+.015,.3198
Weber St. ,.2752,97.2,105.7,+.053,.4108
Bradley ,.2744,91.1,99.1,-.044,.5347
UCF ,.2710,100.7,109.7,+.075,.4871
Loyola Marymount ,.2698,100.8,109.9,+.024,.6511
Youngstown St. ,.2693,103.8,113.3,+.013,.5006
McNeese St. ,.2685,100.2,109.3,+.047,.3866
College of Charleston ,.2684,94.8,103.4,-.076,.4726
South Florida ,.2672,97.2,106.1,-.028,.5551
LIU Brooklyn ,.2636,95.3,104.2,+.038,.3879
Samford ,.2607,100.6,110.2,+.009,.3545
Troy ,.2595,97.5,106.8,-.054,.3786
UMKC ,.2558,95.5,104.8,-.015,.3790
Hampton ,.2523,94.1,103.4,+.010,.3162
Penn ,.2505,96.2,105.8,+.023,.5108
Lipscomb ,.2489,99.4,109.4,+.050,.4166
IUPUI ,.2476,92.2,101.5,+.068,.4882
Niagara ,.2442,99.2,109.5,-.004,.4619
Hartford ,.2439,95.8,105.7,+.076,.3842
Saint Louis ,.2386,93.4,103.3,+.064,.5484
VMI ,.2349,96.1,106.5,-.050,.4048
Arkansas St. ,.2344,94.4,104.6,+.023,.4200
Florida Atlantic ,.2326,97.3,107.9,-.055,.4709
Campbell ,.2309,96.6,107.3,-.090,.4239
Fairfield ,.2308,93.6,103.9,-.086,.4421
South Alabama ,.2304,101.2,112.3,+.071,.4590
Cal St. Fullerton ,.2262,96.9,107.9,-.009,.4948
Wagner ,.2257,96.8,107.8,-.013,.4075
Prairie View A&M ,.2179,96.1,107.4,+.007,.3391
New Orleans ,.2177,97.3,108.7,-.023,.3880
Furman ,.2150,97.2,108.7,-.024,.4250
Southeastern Louisiana ,.2099,94.7,106.2,-.103,.3927
Houston Baptist ,.2079,100.8,113.2,+.029,.4215
Marist ,.2078,93.7,105.3,+.032,.4371
Southern Utah ,.2035,97.0,109.3,+.033,.3777
Jacksonville St. ,.2013,93.3,105.2,+.053,.4172
Loyola MD ,.2001,91.5,103.2,+.080,.4221
UMass Lowell ,.2000,92.4,104.3,+.077,.4330
Southern Miss ,.1983,95.6,108.0,+.038,.5229
Longwood ,.1977,95.8,108.2,+.024,.4044
Jackson St. ,.1924,90.3,102.3,-.087,.2839
Idaho St. ,.1893,96.4,109.4,-.092,.3678
North Dakota ,.1798,95.4,108.9,-.031,.4425
Austin Peay ,.1730,92.8,106.3,-.005,.4632
Montana St. ,.1690,94.6,108.7,-.056,.4248
Fairleigh Dickinson ,.1612,96.1,110.9,+.052,.4184
Coppin St. ,.1549,99.1,114.8,-.008,.4349
Jacksonville ,.1547,97.0,112.4,-.023,.3511
Nicholls St. ,.1537,90.9,105.4,+.024,.4141
Arkansas Pine Bluff ,.1501,91.7,106.6,+.033,.3164
Presbyterian ,.1484,95.7,111.4,-.005,.4343
Binghamton ,.1460,92.9,108.4,-.047,.4378
Western Illinois ,.1387,90.7,106.3,+.036,.4449
Utah Valley ,.1373,91.3,107.1,+.007,.3826
The Citadel ,.1272,101.7,120.3,+.077,.3811
Alabama A&M ,.1223,94.8,112.5,-.019,.2869
Liberty ,.1222,90.6,107.6,-.059,.3723
Abilene Christian ,.1216,93.1,110.6,-.003,.3935
Bethune Cookman ,.1212,90.7,107.7,-.033,.2516
Stetson ,.1200,95.5,113.5,+.006,.3601
South Carolina St. ,.1166,89.9,107.2,+.049,.3694
Chicago St. ,.1141,90.0,107.5,-.004,.4691
Kennesaw St. ,.1075,92.6,111.3,+.039,.3874
Savannah St. ,.1070,86.8,104.4,+.012,.3929
North Carolina A&T ,.1062,92.4,111.2,-.038,.3280
Morgan St. ,.1058,92.5,111.3,+.029,.3832
Central Connecticut ,.1051,91.7,110.5,-.012,.3645
Texas Pan American ,.1031,92.1,111.1,+.038,.4031
Tennessee St. ,.1016,87.5,105.8,-.045,.4863
UMBC ,.0871,88.2,108.2,-.037,.3946
Maine ,.0832,92.4,113.8,-.020,.4594
Alcorn St. ,.0726,92.5,115.5,-.059,.2802
Mississippi Valley St. ,.0635,91.0,115.1,-.001,.3358
Central Arkansas ,.0589,90.5,115.2,+.004,.3829
San Jose St. ,.0581,85.2,108.6,-.030,.5587
Florida A&M ,.0334,85.4,114.5,-.020,.3180
Grambling St. ,.0162,79.9,114.2,-.078,.3281
